Fecha;Sorteo;Euros;Numero;Categoria
10/09/2022;72.º DE 2022;120000;88581;Segundo Premio Ordinario
15/09/2022;73.º DE 2022;300000;41387;Primer Premio Ordinario
15/09/2022;73.º DE 2022;60000;35547;Segundo Premio Ordinario
17/09/2022;74.º DE 2022;600000;32611;Primer Premio Ordinario
17/09/2022;74.º DE 2022;120000;56354;Segundo Premio Ordinario
22/09/2022;75.º DE 2022;300000;83722;Primer Premio Ordinario
22/09/2022;75.º DE 2022;60000;29355;Segundo Premio Ordinario
24/09/2022;76.º DE 2022;600000;17216;Primer Premio Ordinario
24/09/2022;76.º DE 2022;120000;30955;Segundo Premio Ordinario
29/09/2022;77.º DE 2022;300000;49755;Primer Premio Ordinario
29/09/2022;77.º DE 2022;60000;29132;Segundo Premio Ordinario
01/10/2022;78.º DE 2022;600000;63453;Primer Premio Ordinario
01/10/2022;78.º DE 2022;120000;98734;Segundo Premio Ordinario
06/10/2022;79.º DE 2022;300000;77295;Primer Premio Ordinario
06/10/2022;79.º DE 2022;60000;38369;Segundo Premio Ordinario
08/10/2022;80.º DE 2022;600000;56297;Primer Premio Ordinario
08/10/2022;80.º DE 2022;120000;11898;Segundo Premio Ordinario
13/10/2022;81.º DE 2022;300000;72038;Primer Premio Ordinario
13/10/2022;81.º DE 2022;60000;98459;Segundo Premio Ordinario
15/10/2022;82.º DE 2022;1300000;16076;Primer Premio Extraordinario
15/10/2022;82.º DE 2022;250000;23832;Segundo Premio Extraordinario
20/10/2022;83.º DE 2022;300000;38596;Primer Premio Ordinario
20/10/2022;83.º DE 2022;60000;48378;Segundo Premio Ordinario
22/10/2022;84.º DE 2022;600000;5617;Primer Premio Ordinario
22/10/2022;84.º DE 2022;120000;71862;Segundo Premio Ordinario
27/10/2022;85.º DE 2022;300000;68288;Primer Premio Ordinario
27/10/2022;85.º DE 2022;60000;67886;Segundo Premio Ordinario
29/10/2022;86.º DE 2022;600000;38998;Primer Premio Ordinario
29/10/2022;86.º DE 2022;120000;74382;Segundo Premio Ordinario
03/11/2022;87.º DE 2022;300000;83839;Primer Premio Ordinario
03/11/2022;87.º DE 2022;60000;3196;Segundo Premio Ordinario
05/11/2022;88.º DE 2022;1500000;787;Primer Premio Extraordinario
05/11/2022;88.º DE 2022;300000;53165;Segundo Premio Extraordinario
05/11/2022;88.º DE 2022;150000;83082;Tercer Premio Extraordinario
10/11/2022;89.º DE 2022;300000;18052;Primer Premio Ordinario
10/11/2022;89.º DE 2022;60000;47636;Segundo Premio Ordinario
12/11/2022;90.º DE 2022;600000;66467;Primer Premio Ordinario
12/11/2022;90.º DE 2022;120000;82860;Segundo Premio Ordinario
17/11/2022;91.º DE 2022;300000;48377;Primer Premio Ordinario
17/11/2022;91.º DE 2022;60000;27097;Segundo Premio Ordinario
19/11/2022;92.º DE 2022;600000;34646;Primer Premio Ordinario
19/11/2022;92.º DE 2022;120000;87001;Segundo Premio Ordinario
24/11/2022;93.º DE 2022;300000;575;Primer Premio Ordinario
24/11/2022;93.º DE 2022;60000;72449;Segundo Premio Ordinario
26/11/2022;94.º DE 2022;600000;66912;Primer Premio Ordinario
26/11/2022;94.º DE 2022;120000;38524;Segundo Premio Ordinario
01/12/2022;95.º DE 2022;300000;12611;Primer Premio Ordinario
01/12/2022;95.º DE 2022;60000;66014;Segundo Premio Ordinario
03/12/2022;96.º DE 2022;600000;10806;Primer Premio Ordinario
03/12/2022;96.º DE 2022;120000;7112;Segundo Premio Ordinario
08/12/2022;97.º DE 2022;300000;15666;Primer Premio Ordinario
08/12/2022;97.º DE 2022;60000;91308;Segundo Premio Ordinario
10/12/2022;98.º DE 2022;1300000;80172;Primer Premio Extraordinario
10/12/2022;98.º DE 2022;250000;64633;Segundo Premio Extraordinario
15/12/2022;99.º DE 2022;300000;34869;Primer Premio Ordinario
15/12/2022;99.º DE 2022;60000;37750;Segundo Premio Ordinario
17/12/2022;100.º DE 2022;600000;3945;Primer Premio Ordinario
17/12/2022;100.º DE 2022;120000;33852;Segundo Premio Ordinario
22/12/2022;;4000000;5490;Primer Premio
22/12/2022;;1250000;4074;Segundo Premio
22/12/2022;;500000;45250;Tercer Premio
22/12/2022;;200000;54289;1º Cuarto Premio
22/12/2022;;200000;25296;2º Cuarto Premio
22/12/2022;;60000;88509;1º Quinto Premio
22/12/2022;;60000;43696;2º Quinto Premio
22/12/2022;;60000;38454;3º Quinto Premio
22/12/2022;;60000;87092;4º Quinto Premio
22/12/2022;;60000;36142;5º Quinto Premio
22/12/2022;;60000;79138;6º Quinto Premio
22/12/2022;;60000;62391;7º Quinto Premio
22/12/2022;;60000;24492;8º Quinto Premio
22/12/2022;101.º DE 2022;300000;52676;Primer Premio Ordinario
22/12/2022;101.º DE 2022;60000;15701;Segundo Premio Ordinario
05/01/2023;1.º DE 2023;300000;99576;Primer Premio Ordinario
05/01/2023;1.º DE 2023;60000;37978;Segundo Premio Ordinario
06/01/2023;2.º DE 2023;2000000;89603;Primer Premio Extraordinario
06/01/2023;2.º DE 2023;750000;72289;Segundo Premio Extraordinario
06/01/2023;2.º DE 2023;250000;18918;Tercer Premio Extraordinario
12/01/2023;3.º DE 2023;300000;42859;Primer Premio Ordinario
12/01/2023;3.º DE 2023;60000;20218;Segundo Premio Ordinario
